sex,age_group,covid_19_deaths
Male,25-34 years,56.6118231686591
Male,30-39 years,94.79188995682455
Male,35-44 years,167.20236145162107
Male,40-49 years,305.4405343053235
Male,45-54 years,523.3302258033021
Male,55-64 years,1309.312980028639
Male,65-74 years,2010.3779995009872
Male,75-84 years,1909.661616421861
Male,85 years and over,1332.352675504256
Female,Under 1 year,0.6582770135890593
Female,1-4 years,0.0
Female,5-14 years,0.6582770135890593
Female,15-24 years,7.241047149479653
Female,25-34 years,46.73766796482321
Female,30-39 years,76.36013357633088
Female,35-44 years,121.78124751397597
Female,40-49 years,206.04070525337556
Female,45-54 years,326.5053987401734
Female,55-64 years,793.8820783884055
Female,65-74 years,1384.3565595777918
Female,75-84 years,1463.3498012084788
Female,85 years and over,1569.9906774099065
Male,Under 1 year,0.0
Male,1-4 years,0.0
Male,5-14 years,0.6582770135890593
Male,15-24 years,3.949662081534356
Male,25-34 years,17.773479366904603
Male,30-39 years,26.331080543562372
Male,35-44 years,41.47145185611074
Male,40-49 years,82.94290371222148
Male,45-54 years,140.8712809080587
Male,55-64 years,322.5557366586391
Male,65-74 years,445.65353819979316
Male,75-84 years,431.1714439008339
Male,85 years and over,317.9477975635157
Female,Under 1 year,0.0
Female,1-4 years,0.0
Female,5-14 years,1.974831040767178
Female,15-24 years,3.2913850679452965
Female,25-34 years,8.557601176657771
Female,30-39 years,17.115202353315542
Female,35-44 years,25.014526516384255
Female,40-49 years,45.421113937645096
Female,45-54 years,78.33496461709807
Female,55-64 years,186.95067185929284
Female,65-74 years,316.63124353633754
Female,75-84 years,334.40472290324215
Female,85 years and over,346.2537091478452
