condition_group,condition,age_group,number_covid19_deaths
Circulatory diseases,Cardiac arrhythmia,65-74,0.0
Circulatory diseases,Cardiac arrhythmia,65-74,0.0
Circulatory diseases,Cardiac arrhythmia,65-74,48.71249900559039
Circulatory diseases,Cardiac arrhythmia,65-74,386.40860697677783
Circulatory diseases,Cardiac arrhythmia,65-74,260.01942036767844
Circulatory diseases,Cardiac arrhythmia,65-74,140.8712809080587
Circulatory diseases,Cardiac arrhythmia,65-74,300.8325952102001
Circulatory diseases,Cardiac arrhythmia,65-74,292.9332710471314
Circulatory diseases,Cardiac arrhythmia,65-74,195.50827303595062
Circulatory diseases,Cardiac arrhythmia,65-74,235.66317086488323
Circulatory diseases,Cardiac arrhythmia,65-74,498.3156992869179
Circulatory diseases,Cardiac arrhythmia,65-74,922.2460960382721
Circulatory diseases,Cardiac arrhythmia,65-74,1057.1928838240292
Circulatory diseases,Cardiac arrhythmia,65-74,488.441544083082
Circulatory diseases,Cardiac arrhythmia,65-74,209.99036733490993
Circulatory diseases,Cardiac arrhythmia,65-74,24.356249502795194
Circulatory diseases,Cardiac arrhythmia,75-84,0.0
Circulatory diseases,Cardiac arrhythmia,75-84,0.0
Circulatory diseases,Cardiac arrhythmia,75-84,58.58665420942628
Circulatory diseases,Cardiac arrhythmia,75-84,685.9246481597999
Circulatory diseases,Cardiac arrhythmia,75-84,452.8945853492728
Circulatory diseases,Cardiac arrhythmia,75-84,233.68833982411607
Circulatory diseases,Cardiac arrhythmia,75-84,429.85488987365574
Circulatory diseases,Cardiac arrhythmia,75-84,459.4773554851634
Circulatory diseases,Cardiac arrhythmia,75-84,311.3650274276251
Circulatory diseases,Cardiac arrhythmia,75-84,423.27211973776514
Circulatory diseases,Cardiac arrhythmia,75-84,967.0089329623281
Circulatory diseases,Cardiac arrhythmia,75-84,1661.4911822987858
Circulatory diseases,Cardiac arrhythmia,75-84,1712.8367893587324
Circulatory diseases,Cardiac arrhythmia,75-84,785.3244772117478
Circulatory diseases,Cardiac arrhythmia,75-84,315.3146895091594
Circulatory diseases,Cardiac arrhythmia,75-84,42.788005883288854
Circulatory diseases,Cardiac arrhythmia,85+,0.0
Circulatory diseases,Cardiac arrhythmia,85+,0.6582770135890593
Circulatory diseases,Cardiac arrhythmia,85+,84.91773475298865
Circulatory diseases,Cardiac arrhythmia,85+,978.1996421933421
Circulatory diseases,Cardiac arrhythmia,85+,755.7020116002401
Circulatory diseases,Cardiac arrhythmia,85+,352.8364792837358
Circulatory diseases,Cardiac arrhythmia,85+,539.1288741294396
Circulatory diseases,Cardiac arrhythmia,85+,529.9129959391928
Circulatory diseases,Cardiac arrhythmia,85+,339.6709390119546
Circulatory diseases,Cardiac arrhythmia,85+,577.308940917605
Circulatory diseases,Cardiac arrhythmia,85+,1278.3739603899533
Circulatory diseases,Cardiac arrhythmia,85+,2221.684920863075
Circulatory diseases,Cardiac arrhythmia,85+,2053.824282397865
Circulatory diseases,Cardiac arrhythmia,85+,891.9653534131754
Circulatory diseases,Cardiac arrhythmia,85+,355.469587338092
Circulatory diseases,Cardiac arrhythmia,85+,55.95354615507004
Circulatory diseases,Cardiac arrhythmia,All Ages,0.0
Circulatory diseases,Cardiac arrhythmia,All Ages,0.6582770135890593
Circulatory diseases,Cardiac arrhythmia,All Ages,225.1307386474583
Circulatory diseases,Cardiac arrhythmia,All Ages,2283.5629601404466
Circulatory diseases,Cardiac arrhythmia,All Ages,1610.145575238839
Circulatory diseases,Cardiac arrhythmia,All Ages,815.6052198368445
Circulatory diseases,Cardiac arrhythmia,All Ages,1452.1590919774649
Circulatory diseases,Cardiac arrhythmia,All Ages,1454.133923018232
Circulatory diseases,Cardiac arrhythmia,All Ages,961.0844398400266
Circulatory diseases,Cardiac arrhythmia,All Ages,1347.4930468168045
Circulatory diseases,Cardiac arrhythmia,All Ages,2991.2107497486854
Circulatory diseases,Cardiac arrhythmia,All Ages,5264.899554685297
Circulatory diseases,Cardiac arrhythmia,All Ages,5377.464924009026
Circulatory diseases,Cardiac arrhythmia,All Ages,2451.423598605657
Circulatory diseases,Cardiac arrhythmia,All Ages,1020.987648076631
Circulatory diseases,Cardiac arrhythmia,All Ages,143.50438896241494
Circulatory diseases,Heart failure,0-24,0.0
Circulatory diseases,Heart failure,0-24,0.0
Circulatory diseases,Heart failure,0-24,0.0
Circulatory diseases,Heart failure,0-24,1.3165540271781186
Circulatory diseases,Heart failure,0-24,0.0
Circulatory diseases,Heart failure,0-24,0.0
Circulatory diseases,Heart failure,0-24,1.974831040767178
Circulatory diseases,Heart failure,0-24,1.3165540271781186
Circulatory diseases,Heart failure,0-24,0.0
Circulatory diseases,Heart failure,0-24,0.6582770135890593
Circulatory diseases,Heart failure,0-24,1.3165540271781186
Circulatory diseases,Heart failure,0-24,1.3165540271781186
Circulatory diseases,Heart failure,0-24,1.3165540271781186
Circulatory diseases,Heart failure,0-24,1.974831040767178
Circulatory diseases,Heart failure,0-24,0.6582770135890593
Circulatory diseases,Heart failure,0-24,0.0
Circulatory diseases,Heart failure,25-34,0.0
Circulatory diseases,Heart failure,25-34,0.0
Circulatory diseases,Heart failure,25-34,1.3165540271781186
Circulatory diseases,Heart failure,25-34,7.899324163068712
Circulatory diseases,Heart failure,25-34,5.924493122301534
Circulatory diseases,Heart failure,25-34,3.949662081534356
Circulatory diseases,Heart failure,25-34,7.899324163068712
Circulatory diseases,Heart failure,25-34,2.6331080543562373
Circulatory diseases,Heart failure,25-34,1.974831040767178
Circulatory diseases,Heart failure,25-34,1.974831040767178
Circulatory diseases,Heart failure,25-34,2.6331080543562373
Circulatory diseases,Heart failure,25-34,6.582770135890593
Circulatory diseases,Heart failure,25-34,12.507263258192127
Circulatory diseases,Heart failure,25-34,6.582770135890593
Circulatory diseases,Heart failure,25-34,2.6331080543562373
Circulatory diseases,Heart failure,25-34,0.6582770135890593
Circulatory diseases,Heart failure,35-44,0.0
Circulatory diseases,Heart failure,35-44,0.0
Circulatory diseases,Heart failure,35-44,5.266216108712475
Circulatory diseases,Heart failure,35-44,8.557601176657771
Circulatory diseases,Heart failure,35-44,11.190709231014008
Circulatory diseases,Heart failure,35-44,10.53243221742495
Circulatory diseases,Heart failure,35-44,19.09003339408272
Circulatory diseases,Heart failure,35-44,9.87415520383589
Circulatory diseases,Heart failure,35-44,6.582770135890593
Circulatory diseases,Heart failure,35-44,9.21587819024683
Circulatory diseases,Heart failure,35-44,13.165540271781186
Circulatory diseases,Heart failure,35-44,36.20523574739826
Circulatory diseases,Heart failure,35-44,40.813174842521676
Circulatory diseases,Heart failure,35-44,15.798648326137425
Circulatory diseases,Heart failure,35-44,7.241047149479653
Circulatory diseases,Heart failure,35-44,1.974831040767178
Circulatory diseases,Heart failure,45-54,0.0
Circulatory diseases,Heart failure,45-54,0.0
Circulatory diseases,Heart failure,45-54,6.582770135890593
Circulatory diseases,Heart failure,45-54,60.561485250193456
Circulatory diseases,Heart failure,45-54,34.230404706631084
Circulatory diseases,Heart failure,45-54,26.331080543562372
Circulatory diseases,Heart failure,45-54,50.687330046357566
Circulatory diseases,Heart failure,45-54,39.49662081534356
Circulatory diseases,Heart failure,45-54,30.93901963868579
Circulatory diseases,Heart failure,45-54,29.62246561150767
Circulatory diseases,Heart failure,45-54,52.662161087124744
Circulatory diseases,Heart failure,45-54,94.13361294323548
Circulatory diseases,Heart failure,45-54,113.2236463373182
Circulatory diseases,Heart failure,45-54,66.485978372495
Circulatory diseases,Heart failure,45-54,28.96418859791861
Circulatory diseases,Heart failure,45-54,3.2913850679452965
Circulatory diseases,Heart failure,55-64,0.0
Circulatory diseases,Heart failure,55-64,0.0
Circulatory diseases,Heart failure,55-64,26.331080543562372
Circulatory diseases,Heart failure,55-64,194.1917190087725
Circulatory diseases,Heart failure,55-64,154.03682117983988
Circulatory diseases,Heart failure,55-64,80.30979565786524
Circulatory diseases,Heart failure,55-64,134.2885107721681
Circulatory diseases,Heart failure,55-64,121.78124751397597
Circulatory diseases,Heart failure,55-64,77.01841058991994
Circulatory diseases,Heart failure,55-64,98.7415520383589
Circulatory diseases,Heart failure,55-64,184.3175638049366
Circulatory diseases,Heart failure,55-64,347.57026317502334
Circulatory diseases,Heart failure,55-64,369.29340462346227
Circulatory diseases,Heart failure,55-64,186.2923948457038
Circulatory diseases,Heart failure,55-64,71.75219448120747
Circulatory diseases,Heart failure,55-64,7.241047149479653
Circulatory diseases,Heart failure,65-74,0.6582770135890593
Circulatory diseases,Heart failure,65-74,0.0
Circulatory diseases,Heart failure,65-74,52.00388407353569
Circulatory diseases,Heart failure,65-74,399.57414724855903
Circulatory diseases,Heart failure,65-74,317.9477975635157
Circulatory diseases,Heart failure,65-74,141.52955792164775
Circulatory diseases,Heart failure,65-74,264.62735946280185
Circulatory diseases,Heart failure,65-74,268.5770215443362
Circulatory diseases,Heart failure,65-74,171.8103005467445
Circulatory diseases,Heart failure,65-74,261.9942514084456
Circulatory diseases,Heart failure,65-74,479.2256658928352
Circulatory diseases,Heart failure,65-74,842.5945773939959
Circulatory diseases,Heart failure,65-74,925.5374811062175
Circulatory diseases,Heart failure,65-74,464.74357159387586
Circulatory diseases,Heart failure,65-74,208.67381330773182
Circulatory diseases,Heart failure,65-74,19.74831040767178
Circulatory diseases,Heart failure,75-84,0.0
Circulatory diseases,Heart failure,75-84,0.0
Circulatory diseases,Heart failure,75-84,65.82770135890593
Circulatory diseases,Heart failure,75-84,691.8491412821013
Circulatory diseases,Heart failure,75-84,481.2004969336024
Circulatory diseases,Heart failure,75-84,247.5121571094863
Circulatory diseases,Heart failure,75-84,379.82583684088723
Circulatory diseases,Heart failure,75-84,416.68934960187454
Circulatory diseases,Heart failure,75-84,293.59154806072047
Circulatory diseases,Heart failure,75-84,431.8297209144229
Circulatory diseases,Heart failure,75-84,923.5626500654503
Circulatory diseases,Heart failure,75-84,1560.7747992196596
Circulatory diseases,Heart failure,75-84,1519.303347363549
Circulatory diseases,Heart failure,75-84,658.9352906026484
Circulatory diseases,Heart failure,75-84,298.1994871558439
Circulatory diseases,Heart failure,75-84,36.20523574739826
Circulatory diseases,Heart failure,85+,0.0
Circulatory diseases,Heart failure,85+,0.6582770135890593
Circulatory diseases,Heart failure,85+,97.42499801118078
Circulatory diseases,Heart failure,85+,1088.1319034627152
Circulatory diseases,Heart failure,85+,849.1773475298866
Circulatory diseases,Heart failure,85+,383.1172219088325
Circulatory diseases,Heart failure,85+,534.5209350343162
Circulatory diseases,Heart failure,85+,523.3302258033021
Circulatory diseases,Heart failure,85+,398.91587023496993
Circulatory diseases,Heart failure,85+,651.6942434531687
Circulatory diseases,Heart failure,85+,1451.5008149638759
Circulatory diseases,Heart failure,85+,2363.872755798312
Circulatory diseases,Heart failure,85+,2078.1805319006603
Circulatory diseases,Heart failure,85+,899.2064005626551
Circulatory diseases,Heart failure,85+,360.07752643321544
Circulatory diseases,Heart failure,85+,61.21976226378252
Circulatory diseases,Heart failure,All Ages,0.6582770135890593
Circulatory diseases,Heart failure,All Ages,0.6582770135890593
Circulatory diseases,Heart failure,All Ages,254.75320425896595
Circulatory diseases,Heart failure,All Ages,2452.081875619246
Circulatory diseases,Heart failure,All Ages,1853.708070266791
Circulatory diseases,Heart failure,All Ages,893.2819074403535
Circulatory diseases,Heart failure,All Ages,1392.9141607544495
Circulatory diseases,Heart failure,All Ages,1383.6982825642026
Circulatory diseases,Heart failure,All Ages,980.8327502476984
Circulatory diseases,Heart failure,All Ages,1485.7312196705068
Circulatory diseases,Heart failure,All Ages,3108.384058167538
Circulatory diseases,Heart failure,All Ages,5253.708845454283
Circulatory diseases,Heart failure,All Ages,5060.1754034590995
Circulatory diseases,Heart failure,All Ages,2300.0198854801733
Circulatory diseases,Heart failure,All Ages,978.1996421933421
Circulatory diseases,Heart failure,All Ages,130.33884869063374
Circulatory diseases,Cerebrovascular diseases,0-24,0.0
Circulatory diseases,Cerebrovascular diseases,0-24,0.0
Circulatory diseases,Cerebrovascular diseases,0-24,0.0
Circulatory diseases,Cerebrovascular diseases,0-24,1.3165540271781186
Circulatory diseases,Cerebrovascular diseases,0-24,0.6582770135890593
Circulatory diseases,Cerebrovascular diseases,0-24,0.0
Circulatory diseases,Cerebrovascular diseases,0-24,1.3165540271781186
Circulatory diseases,Cerebrovascular diseases,0-24,0.6582770135890593
Circulatory diseases,Cerebrovascular diseases,0-24,1.3165540271781186
Circulatory diseases,Cerebrovascular diseases,0-24,1.3165540271781186
Circulatory diseases,Cerebrovascular diseases,0-24,3.2913850679452965
Circulatory diseases,Cerebrovascular diseases,0-24,2.6331080543562373
Circulatory diseases,Cerebrovascular diseases,0-24,3.949662081534356
Circulatory diseases,Cerebrovascular diseases,0-24,0.0
Circulatory diseases,Cerebrovascular diseases,0-24,0.0
Circulatory diseases,Cerebrovascular diseases,0-24,0.0
Circulatory diseases,Cerebrovascular diseases,25-34,0.0
Circulatory diseases,Cerebrovascular diseases,25-34,0.0
Circulatory diseases,Cerebrovascular diseases,25-34,0.0
Circulatory diseases,Cerebrovascular diseases,25-34,5.266216108712475
Circulatory diseases,Cerebrovascular diseases,25-34,1.974831040767178
Circulatory diseases,Cerebrovascular diseases,25-34,5.266216108712475
Circulatory diseases,Cerebrovascular diseases,25-34,1.3165540271781186
Circulatory diseases,Cerebrovascular diseases,25-34,5.266216108712475
Circulatory diseases,Cerebrovascular diseases,25-34,3.949662081534356
Circulatory diseases,Cerebrovascular diseases,25-34,2.6331080543562373
Circulatory diseases,Cerebrovascular diseases,25-34,4.607939095123415
Circulatory diseases,Cerebrovascular diseases,25-34,8.557601176657771
Circulatory diseases,Cerebrovascular diseases,25-34,10.53243221742495
Circulatory diseases,Cerebrovascular diseases,25-34,0.6582770135890593
Circulatory diseases,Cerebrovascular diseases,25-34,2.6331080543562373
Circulatory diseases,Cerebrovascular diseases,25-34,0.0
Circulatory diseases,Cerebrovascular diseases,35-44,0.0
Circulatory diseases,Cerebrovascular diseases,35-44,0.0
Circulatory diseases,Cerebrovascular diseases,35-44,2.6331080543562373
Circulatory diseases,Cerebrovascular diseases,35-44,13.165540271781186
Circulatory diseases,Cerebrovascular diseases,35-44,15.798648326137425
Circulatory diseases,Cerebrovascular diseases,35-44,8.557601176657771
Circulatory diseases,Cerebrovascular diseases,35-44,13.165540271781186
Circulatory diseases,Cerebrovascular diseases,35-44,11.848986244603068
Circulatory diseases,Cerebrovascular diseases,35-44,8.557601176657771
Circulatory diseases,Cerebrovascular diseases,35-44,7.899324163068712
Circulatory diseases,Cerebrovascular diseases,35-44,16.45692533972648
Circulatory diseases,Cerebrovascular diseases,35-44,27.647634570740493
Circulatory diseases,Cerebrovascular diseases,35-44,25.672803529973315
Circulatory diseases,Cerebrovascular diseases,35-44,22.381418462028016
Circulatory diseases,Cerebrovascular diseases,35-44,10.53243221742495
Circulatory diseases,Cerebrovascular diseases,35-44,1.974831040767178
Circulatory diseases,Cerebrovascular diseases,45-54,0.0
Circulatory diseases,Cerebrovascular diseases,45-54,0.0
Circulatory diseases,Cerebrovascular diseases,45-54,3.949662081534356
Circulatory diseases,Cerebrovascular diseases,45-54,53.32043810071381
Circulatory diseases,Cerebrovascular diseases,45-54,46.73766796482321
Circulatory diseases,Cerebrovascular diseases,45-54,32.91385067945296
Circulatory diseases,Cerebrovascular diseases,45-54,41.47145185611074
Circulatory diseases,Cerebrovascular diseases,45-54,42.788005883288854
Circulatory diseases,Cerebrovascular diseases,45-54,38.18006678816544
Circulatory diseases,Cerebrovascular diseases,45-54,26.331080543562372
Circulatory diseases,Cerebrovascular diseases,45-54,52.00388407353569
Circulatory diseases,Cerebrovascular diseases,45-54,103.34949113348232
Circulatory diseases,Cerebrovascular diseases,45-54,112.56536932372914
Circulatory diseases,Cerebrovascular diseases,45-54,62.536316290960634
Circulatory diseases,Cerebrovascular diseases,45-54,32.91385067945296
Circulatory diseases,Cerebrovascular diseases,45-54,4.607939095123415
Circulatory diseases,Cerebrovascular diseases,55-64,0.0
Circulatory diseases,Cerebrovascular diseases,55-64,0.0
Circulatory diseases,Cerebrovascular diseases,55-64,13.165540271781186
Circulatory diseases,Cerebrovascular diseases,55-64,201.43276615825215
Circulatory diseases,Cerebrovascular diseases,55-64,144.16266597600398
Circulatory diseases,Cerebrovascular diseases,55-64,89.52567384811206
Circulatory diseases,Cerebrovascular diseases,55-64,128.36401764986655
Circulatory diseases,Cerebrovascular diseases,55-64,130.9971257042228
Circulatory diseases,Cerebrovascular diseases,55-64,83.60118072581054
Circulatory diseases,Cerebrovascular diseases,55-64,102.69121411989326
Circulatory diseases,Cerebrovascular diseases,55-64,186.2923948457038
Circulatory diseases,Cerebrovascular diseases,55-64,288.32533195200796
Circulatory diseases,Cerebrovascular diseases,55-64,323.21401367222813
Circulatory diseases,Cerebrovascular diseases,55-64,195.50827303595062
Circulatory diseases,Cerebrovascular diseases,55-64,80.9680726714543
Circulatory diseases,Cerebrovascular diseases,55-64,8.557601176657771
Circulatory diseases,Cerebrovascular diseases,65-74,0.0
Circulatory diseases,Cerebrovascular diseases,65-74,0.0
Circulatory diseases,Cerebrovascular diseases,65-74,17.773479366904603
Circulatory diseases,Cerebrovascular diseases,65-74,398.2575932213809
Circulatory diseases,Cerebrovascular diseases,65-74,303.46570326455634
Circulatory diseases,Cerebrovascular diseases,65-74,171.15202353315541
Circulatory diseases,Cerebrovascular diseases,65-74,244.220772041541
Circulatory diseases,Cerebrovascular diseases,65-74,265.94391348998
Circulatory diseases,Cerebrovascular diseases,65-74,162.59442235649766
Circulatory diseases,Cerebrovascular diseases,65-74,190.9003339408272
Circulatory diseases,Cerebrovascular diseases,65-74,369.29340462346227
Circulatory diseases,Cerebrovascular diseases,65-74,661.5683986570046
Circulatory diseases,Cerebrovascular diseases,65-74,701.0650194723481
Circulatory diseases,Cerebrovascular diseases,65-74,346.91198616143424
Circulatory diseases,Cerebrovascular diseases,65-74,165.88580742444296
Circulatory diseases,Cerebrovascular diseases,65-74,22.381418462028016
Circulatory diseases,Cerebrovascular diseases,75-84,0.0
Circulatory diseases,Cerebrovascular diseases,75-84,0.0
Circulatory diseases,Cerebrovascular diseases,75-84,26.331080543562372
Circulatory diseases,Cerebrovascular diseases,75-84,522.6719487897132
Circulatory diseases,Cerebrovascular diseases,75-84,403.52380933009334
Circulatory diseases,Cerebrovascular diseases,75-84,196.16655004953967
Circulatory diseases,Cerebrovascular diseases,75-84,292.2749940335423
Circulatory diseases,Cerebrovascular diseases,75-84,319.9226286042828
Circulatory diseases,Cerebrovascular diseases,75-84,211.30692136208805
Circulatory diseases,Cerebrovascular diseases,75-84,261.9942514084456
Circulatory diseases,Cerebrovascular diseases,75-84,562.1685696050566
Circulatory diseases,Cerebrovascular diseases,75-84,968.3254869895063
Circulatory diseases,Cerebrovascular diseases,75-84,965.69237893515
Circulatory diseases,Cerebrovascular diseases,75-84,435.1211059823682
Circulatory diseases,Cerebrovascular diseases,75-84,159.30303728855236
Circulatory diseases,Cerebrovascular diseases,75-84,22.381418462028016
Circulatory diseases,Cerebrovascular diseases,85+,0.0
Circulatory diseases,Cerebrovascular diseases,85+,0.6582770135890593
Circulatory diseases,Cerebrovascular diseases,85+,30.280742625096728
Circulatory diseases,Cerebrovascular diseases,85+,552.2944144012208
Circulatory diseases,Cerebrovascular diseases,85+,511.4812395586991
Circulatory diseases,Cerebrovascular diseases,85+,222.49763059310206
Circulatory diseases,Cerebrovascular diseases,85+,278.4511767481721
Circulatory diseases,Cerebrovascular diseases,85+,318.6060745771047
Circulatory diseases,Cerebrovascular diseases,85+,223.1559076066911
Circulatory diseases,Cerebrovascular diseases,85+,317.2895205499266
Circulatory diseases,Cerebrovascular diseases,85+,712.9140057169512
Circulatory diseases,Cerebrovascular diseases,85+,1199.380718759266
Circulatory diseases,Cerebrovascular diseases,85+,1080.2325792996464
Circulatory diseases,Cerebrovascular diseases,85+,452.8945853492728
Circulatory diseases,Cerebrovascular diseases,85+,183.65928679134754
Circulatory diseases,Cerebrovascular diseases,85+,25.014526516384255
Circulatory diseases,Cerebrovascular diseases,All Ages,0.0
Circulatory diseases,Cerebrovascular diseases,All Ages,0.6582770135890593
Circulatory diseases,Cerebrovascular diseases,All Ages,94.13361294323548
Circulatory diseases,Cerebrovascular diseases,All Ages,1748.3837480925415
Circulatory diseases,Cerebrovascular diseases,All Ages,1427.8028424746697
Circulatory diseases,Cerebrovascular diseases,All Ages,726.0795459887324
Circulatory diseases,Cerebrovascular diseases,All Ages,1000.5810606553702
Circulatory diseases,Cerebrovascular diseases,All Ages,1096.0312276257837
Circulatory diseases,Cerebrovascular diseases,All Ages,732.662316124623
Circulatory diseases,Cerebrovascular diseases,All Ages,911.0553868072581
Circulatory diseases,Cerebrovascular diseases,All Ages,1907.0285083675049
Circulatory diseases,Cerebrovascular diseases,All Ages,3259.7877712930217
Circulatory diseases,Cerebrovascular diseases,All Ages,3222.9242585320344
Circulatory diseases,Cerebrovascular diseases,All Ages,1516.0119622956036
Circulatory diseases,Cerebrovascular diseases,All Ages,635.8955951270314
Circulatory diseases,Cerebrovascular diseases,All Ages,84.91773475298865
Circulatory diseases,Other diseases of the circulatory system,0-24,0.0
Circulatory diseases,Other diseases of the circulatory system,0-24,0.0
Circulatory diseases,Other diseases of the circulatory system,0-24,2.6331080543562373
Circulatory diseases,Other diseases of the circulatory system,0-24,8.557601176657771
Circulatory diseases,Other diseases of the circulatory system,0-24,3.949662081534356
Circulatory diseases,Other diseases of the circulatory system,0-24,3.949662081534356
Circulatory diseases,Other diseases of the circulatory system,0-24,9.21587819024683
Circulatory diseases,Other diseases of the circulatory system,0-24,7.899324163068712
Circulatory diseases,Other diseases of the circulatory system,0-24,2.6331080543562373
Circulatory diseases,Other diseases of the circulatory system,0-24,5.924493122301534
Circulatory diseases,Other diseases of the circulatory system,0-24,8.557601176657771
Circulatory diseases,Other diseases of the circulatory system,0-24,10.53243221742495
Circulatory diseases,Other diseases of the circulatory system,0-24,10.53243221742495
Circulatory diseases,Other diseases of the circulatory system,0-24,7.899324163068712
Circulatory diseases,Other diseases of the circulatory system,0-24,3.2913850679452965
Circulatory diseases,Other diseases of the circulatory system,0-24,0.6582770135890593
Circulatory diseases,Other diseases of the circulatory system,25-34,0.0
Circulatory diseases,Other diseases of the circulatory system,25-34,0.0
Circulatory diseases,Other diseases of the circulatory system,25-34,6.582770135890593
Circulatory diseases,Other diseases of the circulatory system,25-34,18.43175638049366
Circulatory diseases,Other diseases of the circulatory system,25-34,13.823817285370247
Circulatory diseases,Other diseases of the circulatory system,25-34,10.53243221742495
Circulatory diseases,Other diseases of the circulatory system,25-34,21.0648644348499
Circulatory diseases,Other diseases of the circulatory system,25-34,9.21587819024683
Circulatory diseases,Other diseases of the circulatory system,25-34,13.823817285370247
Circulatory diseases,Other diseases of the circulatory system,25-34,11.848986244603068
Circulatory diseases,Other diseases of the circulatory system,25-34,23.697972489206137
Circulatory diseases,Other diseases of the circulatory system,25-34,30.280742625096728
Circulatory diseases,Other diseases of the circulatory system,25-34,32.91385067945296
Circulatory diseases,Other diseases of the circulatory system,25-34,17.115202353315542
Circulatory diseases,Other diseases of the circulatory system,25-34,8.557601176657771
Circulatory diseases,Other diseases of the circulatory system,25-34,0.0
Circulatory diseases,Other diseases of the circulatory system,35-44,0.0
Circulatory diseases,Other diseases of the circulatory system,35-44,0.0
Circulatory diseases,Other diseases of the circulatory system,35-44,9.21587819024683
Circulatory diseases,Other diseases of the circulatory system,35-44,46.07939095123415
Circulatory diseases,Other diseases of the circulatory system,35-44,34.230404706631084
Circulatory diseases,Other diseases of the circulatory system,35-44,22.381418462028016
Circulatory diseases,Other diseases of the circulatory system,35-44,39.49662081534356
Circulatory diseases,Other diseases of the circulatory system,35-44,31.59729665227485
Circulatory diseases,Other diseases of the circulatory system,35-44,20.406587421260838
Circulatory diseases,Other diseases of the circulatory system,35-44,26.989357557151433
Circulatory diseases,Other diseases of the circulatory system,35-44,55.95354615507004
Circulatory diseases,Other diseases of the circulatory system,35-44,63.852870318138756
Circulatory diseases,Other diseases of the circulatory system,35-44,88.20911982093395
Circulatory diseases,Other diseases of the circulatory system,35-44,44.76283692405603
Circulatory diseases,Other diseases of the circulatory system,35-44,26.331080543562372
Circulatory diseases,Other diseases of the circulatory system,35-44,3.2913850679452965
Circulatory diseases,Other diseases of the circulatory system,45-54,0.0
Circulatory diseases,Other diseases of the circulatory system,45-54,0.0
Circulatory diseases,Other diseases of the circulatory system,45-54,19.74831040767178
Circulatory diseases,Other diseases of the circulatory system,45-54,96.76672099759172
Circulatory diseases,Other diseases of the circulatory system,45-54,84.91773475298865
Circulatory diseases,Other diseases of the circulatory system,45-54,52.00388407353569
Circulatory diseases,Other diseases of the circulatory system,45-54,93.47533592964642
Circulatory diseases,Other diseases of the circulatory system,45-54,65.16942434531687
Circulatory diseases,Other diseases of the circulatory system,45-54,55.95354615507004
Circulatory diseases,Other diseases of the circulatory system,45-54,66.485978372495
Circulatory diseases,Other diseases of the circulatory system,45-54,114.54020036449633
Circulatory diseases,Other diseases of the circulatory system,45-54,200.11621213107404
Circulatory diseases,Other diseases of the circulatory system,45-54,248.82871113666442
Circulatory diseases,Other diseases of the circulatory system,45-54,135.60506479934622
Circulatory diseases,Other diseases of the circulatory system,45-54,65.82770135890593
Circulatory diseases,Other diseases of the circulatory system,45-54,6.582770135890593
Circulatory diseases,Other diseases of the circulatory system,55-64,0.0
Circulatory diseases,Other diseases of the circulatory system,55-64,1.3165540271781186
Circulatory diseases,Other diseases of the circulatory system,55-64,32.255573665863906
Circulatory diseases,Other diseases of the circulatory system,55-64,235.66317086488323
Circulatory diseases,Other diseases of the circulatory system,55-64,194.1917190087725
Circulatory diseases,Other diseases of the circulatory system,55-64,117.17330841885256
Circulatory diseases,Other diseases of the circulatory system,55-64,183.0010097777585
Circulatory diseases,Other diseases of the circulatory system,55-64,179.05134769622413
Circulatory diseases,Other diseases of the circulatory system,55-64,115.19847737808539
Circulatory diseases,Other diseases of the circulatory system,55-64,142.84611194882586
Circulatory diseases,Other diseases of the circulatory system,55-64,281.0842848025283
Circulatory diseases,Other diseases of the circulatory system,55-64,518.0640096945897
Circulatory diseases,Other diseases of the circulatory system,55-64,628.6545479775516
Circulatory diseases,Other diseases of the circulatory system,55-64,357.4444183788592
Circulatory diseases,Other diseases of the circulatory system,55-64,142.84611194882586
Circulatory diseases,Other diseases of the circulatory system,55-64,26.989357557151433
Circulatory diseases,Other diseases of the circulatory system,65-74,0.6582770135890593
Circulatory diseases,Other diseases of the circulatory system,65-74,1.3165540271781186
Circulatory diseases,Other diseases of the circulatory system,65-74,55.95354615507004
Circulatory diseases,Other diseases of the circulatory system,65-74,433.146274941601
Circulatory diseases,Other diseases of the circulatory system,65-74,306.09881131891257
Circulatory diseases,Other diseases of the circulatory system,65-74,166.544084438032
Circulatory diseases,Other diseases of the circulatory system,65-74,292.9332710471314
Circulatory diseases,Other diseases of the circulatory system,65-74,327.1636757537625
Circulatory diseases,Other diseases of the circulatory system,65-74,208.67381330773182
Circulatory diseases,Other diseases of the circulatory system,65-74,245.53732606871912
Circulatory diseases,Other diseases of the circulatory system,65-74,522.013671776124
Circulatory diseases,Other diseases of the circulatory system,65-74,1002.5558916961373
Circulatory diseases,Other diseases of the circulatory system,65-74,1128.2868012916476
Circulatory diseases,Other diseases of the circulatory system,65-74,614.8307306921814
Circulatory diseases,Other diseases of the circulatory system,65-74,268.5770215443362
Circulatory diseases,Other diseases of the circulatory system,65-74,30.280742625096728
Circulatory diseases,Other diseases of the circulatory system,75-84,0.0
Circulatory diseases,Other diseases of the circulatory system,75-84,0.0
Circulatory diseases,Other diseases of the circulatory system,75-84,64.51114733172781
Circulatory diseases,Other diseases of the circulatory system,75-84,512.7977935858772
